title,rating,content
Dziewczyny z St. Trinian (2007),8,"Na rozpoczęcie nowego roku szkolnego otrzymujemy produkt, który z łatwością można nazwać koszmarem pedagogów i filmowych purystów. Pierwszych przerazi całkowity brak poszanowania dla szczytnej idei noszenia kaganka oświaty maluczkim (który często przybiera formę żelaznego kagańca). Drugich odstraszy z kolei pogarda, z jaką twórcy odnoszą się do dobrego smaku i wysublimowanego artyzmu. Tym jednak, którzy potrafią porzucić gorset sztywnych norm moralnych i estetycznych, ""Dziewczyny z St. Trinian"" przypadną do gustu. Film ma w sobie bowiem wszystkie elementy brytyjskiej komedii: jest ekscentryczny, nieco campowy humor ze sporym dodatkiem ekstrawagancji.  St. Trinian to prywatna szkoła dla dziewcząt, która przypomina raczej patologiczną komunę dla wyrzutków. Z niemałym trudem przychodzi odróżnienie uczennic od nauczycieli. I jedni i drudzy oddają się z lubością destrukcyjnym i anarchistycznym działaniom, które z programem nauczania ministerstwa edukacji niewiele mają wspólnego. Zamiast nudnej algebry, chemii czy łaciny, dziewczyny z St. Trinian przechodzą prawdziwą szkołę życia. Adeptki uczelni są mistrzyniami fellatio, potrafią wyprodukować ładunki wybuchowe i powalający z nóg bimber, a gdy trzeba, dokonają również brawurowego napadu i zabłysną w telewizji.  ""Dziewczyny z St. Trinian"" to najnowsze dziecko Olivera Parkera znanego głównie z adaptowania na potrzeby kina dzieł Oscara Wilde'a. Duch niepokornego Irlandczyka unosi się zresztą i nad tym filmem. Przewrotny humor, pełen uszczypliwości, ciepłej ironii, a przede wszystkim zabawy jednoznacznie kojarzy się choćby z ""Bądźmy poważni na serio"". Film nie próbuje być sztuką ani wiekopomnym dziełem. To raczej nieposkromiona impresja zbudowana na barwnych postaciach, przesycona żywiołowością i entuzjazmem. Parker swoim najnowszym filmem przypomina widzom o bogatej tradycji komedii absurdalnej, która na Wyspach zawsze cieszyła się sporym powodzeniem. Ostatnio powróciła do łask w telewizji, a dzięki ""Dziewczynom z St. Trinian"" notuje również triumfalny powrót do kina.  Ów sukces nie byłby możliwy, gdyby nie doskonale dobrana obsada, a przede wszystkim Rupert Everett i Colin Firth. Panowie znajdują się niby na drugim planie, jednak to właśnie oni są ozdobą i największym atutem filmu. Obaj świetnie bawią się swoimi postaciami, racząc widzów i siebie nawzajem zabawnymi, ciętymi i dwuznacznymi komentarzami. Wyraźnie czuć między nimi chemię, i to tak, że w pewnym momencie kryminalna intryga schodzi na drugi plan, zaś najważniejsze staje się pytanie o to, czy Panna Fritton i Geoffrey Thwaites się pocałują.  Fani brytyjskiego humoru będą zadowoleni, reszta poczuje się zniesmaczona. I oto właśnie chodzi.  "
Hellboy: Złota armia (2008),8,"Przygody diabła z wahnięciami własnej tożsamości to prawdziwie świeży oddech po pompatycznym, epickim i odrobinę nadętym ""Mrocznym Rycerzu"". Wszystko jest  tu mniejsze i bardziej ludzkie niż w filmie Nolana, choć dylematy przeżywają niekoniecznie przedstawiciele naszego gatunku. Przede wszystkim jednak nowy ""Hellboy"" to perfekcyjne połączenie komiksu i baśni. Malarskie i niepokojące wizje del Toro ścierają się tu z komiksową werwą. Całość daje rewelacyjny rezultat i niezłego kopa skostniałym od produkcyjniaków i hitów na lato zwojów mózgowych.  Za sprawą hiszpańskiego twórcy bohater z piekła rodem powrócił w iście imponującym stylu: czerwony jak cegła i gorący jak piec.  Od ostatniego spotkania nasz nietypowy bohater z jego dziwaczną paczką na usługach rządu USA kryzys tożsamości dopełnił kryzysem związku. Nie jest łatwo po tym, jak się uratuje świat i rozwali kilka dziwadeł, z ""maleństwa"" wrócić do zmywania naczyń i ścielenia łóżka. Tak już jest skonstruowany ten świat. Kto jednak choć trochę zna Hellboya, dobrze wie, że światów jest wiele, trzeba tylko otworzyć na nie oczy. Zagrożenie przyjdzie ze strony tych, którzy za sprawą naszego gatunku odeszli w zapomnienie i kryją się w mrokach ścieków i brudnych zaułków. Świat elfów i innych dziwadeł pod wodzą księcia Nuady upomni się o swoje prawa.  Kluczowa w szykującej się wojnie okaże się tytułowa złota armia oraz, jak nietrudno się domyślić, nasz czerwonoskóry bohater, który kolejny raz będzie musiał zdecydować, do którego świata przynależy.  Guillermo del Toro to jedna z osobistości współczesnego kina. Na tle bardziej i mniej zdolnych rzemieślników ruchomych obrazów wyróżnia go niepowtarzalna wyobraźnia. Czy mamy do czynienia  z wczesnym i niskobudżetowym ""Cronosem"", ambitnymi produkcjami na pograniczu dramatu i horroru w stylu ""Kręgosłupa diabła"" i ""Labiryntu Fauna"", czy też adaptacjami komiksów pokroju ""Blade"", widać, że facet ma swój niepowtarzalny styl. Wszystkie stworki i labirynty, które wykreował, sprawiły, że zyskał sobie zasłużoną estymę. Umówmy się jednak, że styl stylem, ale twórca ""Mutanta"" momentami niebezpiecznie ocierał się o manierę. Odejście od dzieci, wojny i duchów na rzecz komiksowych postaci i masowej rozrywki dało nowy pozytywny impuls jego baśniowym światom.  W ""Złotej armii"" można by się oczywiście doszukiwać inspiracji malarstwem Hieronima Boscha i Beksińskiego, ja jednak wolałbym nie popadać w przesadę i nadmierną egzaltację. Wystarczy, że ""Hellboy"" to kawał naprawdę świetnego kina rozrywkowego, które zgrabnie balansuje między akcentami komediowymi i dramatycznymi. I chociaż do końca nie wiem, czy oglądałem na ekranie komiks czy baśń, oglądałem to z prawdziwą i niekłamaną przyjemnością. "
Złodzieje (2007),8,"Historia opowiedziana przez Jaime’a Marquesa Olarreagę, debiutującego hiszpańskiego reżysera, powtórzona przy użyciu słów może brzmieć banalnie. Trzeba niezwykłego kunsztu, by opisać krótki wyrywek z życia młodego chłopaka (Juan Jose Ballesta), który kradnie, bo nic innego nie robi tak perfekcyjnie. Nie jest w tym bezmyślny, kieruje się konkretnym celem. Można odnieść wrażenie, że jest to dla niego forma sztuki. Po drodze poznaje dziewczynę (Maria Valverde) i choć pozornie mają ich łączyć tylko wspólne kradzieże, to żaden widz nie da się oszukać - tu chodzi o coś więcej, znacznie więcej.  Reżyser zadbał, by to ""więcej"" pokazane było bardzo subtelnie. Gdy dwoje osób tak dobrze się rozumie, dialogi nie są potrzebne, dlatego jest ich w filmie naprawdę niewiele. W tym wypadku sprawdza się powiedzenie, że więcej można powiedzieć przez milczenie. To ono jest najbardziej sugestywne. Muzyka udowodniła swoja przewagę nad słowami, a cisza przypomniała, co to samotność.  Rolę pierwszoplanową odegrała pasja. To ona łączy głównych bohaterów. Spotkania Aleksa i Sary nie ograniczają się do chęci zdobycia kilku portfeli pełnych gotówki. Każda scena, w której wspólnie obserwują potencjalną ofiarę, pełna jest pożądania, wzajemnej fascynacji. Delikatność, z jaką dotykają przypadkowych przechodniów, wywołuje chwilę napięcia i uniesienia. Ich historia pokazuje kolejne oblicze miłości. Mimo tego, że powstało już kilka innych filmów, których tytuły mogą być kojarzone z obrazem Marquesa, np. ""Złodziejaszek""  Ericka Zonki czy ""Kieszonkowiec"" Roberta Bressona, nie ma sensu ich z nim porównywać.  To nie fabuła jest w tym wypadku najważniejsza, a sposób jej ukazania.   To, co robią głowni bohaterowie, nie budzi protestów. To młodzi ludzie, którzy odnaleźli sposób na wspólne porozumienie. Wciągają widza w swoją grę. Grę, która staje się atrakcyjna także dla nas. I robią to naprawdę skutecznie. "
Wysoka dziewczyna (2019),7,"W swoim drugim pełnym metrażu Kantemir Balagov po raz kolejny bierze na warsztat kobietę, ba, tym razem nawet dwie. Pokazywana premierowo w prestiżowej sekcji Un Certain Regard na canneńskim festiwalu ""Wysoka dziewczyna"" opowiada historię Iyi (Viktoria Miroshnichenko), która po wojnie powraca do Leningradu z trzyletnim Pashką (Timofey Glazkov) i zatrudnia się jako siostra w szpitalu. Wkrótce w wyniku nieszczęśliwego wypadku dziecko umiera, a do miasta przyjeżdża frontowa przyjaciółka bohaterki, Masha (Vasilisa Perelygina), jak się dowiadujemy – matka chłopca.        Non-Stop Productions Cały obraz oparty jest na kontraście obydwu bohaterek. Iya jest nieśmiała, wrażliwa, z sercem otwartym dla innych. Masha przeciwnie – pewna siebie, dominująca, skupiona na sobie. Każda ich kolejna konfrontacja coraz bardziej oddala je od siebie i uwydatnia dzielące różnice. Łącząca je relacja zmienia swój charakter stopniowo, ale diametralnie – od solidarności w świetle śmierci dziecka po postępującą toksyczność, opartą na szantażu emocjonalnym. Podobnie jak w debiutanckiej ""Bliskości"", tak i teraz złote dziecko rosyjskiego kina kreuje specyficzną, niezwykle napiętą atmosferę prezentowanej historii, w której tragedia okazuje się być tylko wierzchołkiem potężnej góry lodowej. Twórca niezwykle misternie buduje wizerunek nie tylko obu kobiet, ale i całego świata przedstawionego, dając widzowi odpowiednio dużo czasu na zatopienie się w portretowanej rzeczywistości.  Rosyjski reżyser poświęca bowiem całkiem sporo uwagi (choć mimochodem) powojennym realiom, a szczególnie samym mieszkańcom miasta, którzy powoli wracają do normalności po trwającej przeszło dwa lata niemieckiej blokadzie. Podejmuje przy tym tematykę ""nowego początku"" symbolicznie łącząc powstający z kolan Leningrad z obiema kobietami próbującymi ułożyć sobie życie na nowo. Dość dodać, że o przeszłości zarówno Iyi jak i Mashy praktycznie nic nie wiemy, zupełnie jakby wojna ucięła ich przeszłość i wymazała wszelkie wspomnienia.  W osiąganiu takiego efektu twórca pomaga sobie nie tylko niespiesznie rozwijającą się fabułą, ale i odpowiednio skonstruowaną oprawą audiowizualną. Szczególną uwagę zwraca sam obraz, utrzymany w ciemnej tonacji, ale jednocześnie pełen kolorów, niejednokrotnie przypominający dzieło malarskie. Ważna jest tu też praca kamery, która leniwie zmienia perspektywy i często zatrzymuje się na twarzy postaci, niejako przedłużając poszczególne sceny. Klimatu dopełnia dość skąpa linia dialogowa – Balagov ponownie przekazuje widzowi więcej sugestywnym, milczącym spojrzeniem aniżeli słowem. To zaś, choć pojawia się nie tak często, niejednokrotnie potrafi wgnieść publikę w fotel (patrz: monolog Mashy w końcowej części filmu).  Mimo tak pieczołowitej konstrukcji, ""Wysoka dziewczyna"" nie prezentuje się ostatecznie jako film ze wszech miar głęboki. O wiele bardziej skąpy niż pierwszy okazuje się być bowiem drugi plan, który, choć obfitujący w pokaźną liczbę postaci, to znikomą bohaterów. Zarówno wątek nieumyślnie wplątanego w intrygę lekarza, jak i zakochanego w Mashy młodzieńca z bogatego domu, czy rannego żołnierza i jego żony pozostawiają po sobie pewien niedosyt i finalnie nieco rażą niewykorzystanym w pełni potencjałem. Być może reżyser celowo postawił ich tylko jako figury, wokół których lawirują Iya i jej przyjaciółka, ale niekiedy daje się odnieść wrażenie, że wielowarstwowości w budowaniu postaci starczyło mu tylko na dwie protagonistki.        Non-Stop Productions Nie zaciera to jednak ogólnie pozytywnych wrażeń ze spektaklu. Balagov nie tylko potwierdza nim, że nauka pod kątem Aleksandra Sokurowa nie poszła na marne, ale jednocześnie zarysowuje swój autorski styl i buduje nazwisko, stając się obok Zwiagincewa czy Sieriebriennikowa jednym z najbardziej rozpoznawalnych obecnie na świecie głosów ze Wschodu, szczególnie wśród canneńskiego splendoru. Wiele wskazuje na to, że kolejne dzieło tego obiecującego i młodego wciąż reżysera dostanie się wreszcie do głównego konkursu festiwalu, na co z pewnością sobie zasłużył."
Mamma Mia! (2008),8,"""Mamma Mia!"" jest jak podstarzała hipiska: średnio urodziwa, ubrana we wdzianka z poprzedniej epoki i trochę tandetna. Wszystkie te cechy unieważnia jednak urok osobisty dzieła – wystarczy posiedzieć w jego towarzystwie parę minut, a noga sama zaczyna tupać z ekscytacji, zaś na twarzy pojawia się uśmiech od ucha do ucha. I tak do samego końca...  Czy mogło być inaczej, skoro inspiracją i główną treścią scenicznego pierwowzoru filmu były piosenki szwedzkiego zespołu ABBA, w których swego czasu zakochało się pół świata? Moja Matka do dziś wspomina prywatki przy winie, gdy z głośników magnetofonu sączyły się jedwabiste dźwięki ""Dancing Queen"" i ""Gimme, Gimme, Gimme!'"". Jeszcze dwa tygodnie przed polską premierą ""Mamma Mia!""  wyczytałem, że jego ścieżka dźwiękowa zyskała u nas status złotej płyty, sprzedając się w 10-tysięcznym nakładzie. Nie ma rady – czeka nas nowe (stare) szaleństwo do upadłego.  Musical Phyllidy Lloyd jest kiczem, ale tak rozkosznym, iż przez palce nie może mi przejść jakaś złośliwa obelga. To może napiszę coś o fabule? Rzecz dzieje się na bajecznej wyspie u wybrzeży Grecji, gdzie mieszka sobie Donna (wspaniała Streep) ze swoją dorastającą córą Sophie (Seyfried). Dziewczyna właśnie się zakochała i postanowiła wyjść za mąż. Problem w tym, że nie wie, kto jest jej ojcem. Dwie dekady wcześniej (film rozgrywa się chyba w latach 80. - pocztówkowe wspominki upstrzone są dziećmi-kwiatami z czasów rewolucji 68') Donna miała romans z trzema facetami (Brosnan, Skarsgard, Firth), ale żaden ze związków nie zakończył się hasełkiem ""żyli długo i szczęśliwie"". Któryś z panów (aktualnie statecznych bogaczy) użyczył nasienia przy spłodzeniu Sophie. Tylko który?! Aby rozwikłać tę zagadkę rezolutna małolata rozsyła zaproszenia na swój ślub samczemu tercetowi, który zjawia się na wyspie w komplecie.  Sprawa ojcostwa, choć z początku wydaje się sednem filmu, zostaje rozwiązana zgodnie z zasadami Flower Power. Dużo ciekawsza wydaje się historia weteranów wolnościowego zrywu, którzy dziś ugrzęźli w okowach zwykłego życia. Weselna impreza staje się okazją do ostatniej zabawy na całego, by potem ustalić priorytety i przyjemnie zgnuśnieć. Młodzi powinni za to szaleć do upadłego – kochać się, podróżować po świecie, tańczyć i śpiewać... oczywiście piosenki ABBY. Twórczość skandynawskiej grupy nie zestarzała się ani trochę. Jej rozrywkowy potencjał jest tak silny, że współczesna scena pop może się schować w krzakach.  Nie mam zamiaru już nic więcej napisać. ""Mamma Mia!"" będzie u nas hitem i jest to równie pewne jak kolejna edycja ""Tańca z gwiazdami"". Z tą różnicą, iż w filmie Lloyd są prawdziwe gwiazdy. Chociaż czasami fałszują.     "
10.000 B.C. (2008),4,"Jakie są filmy Rolanda Emmericha, każdy widzi – głośne, głupie i nadęte. ""10.000 B.C."" kontynuuje chlubną tradycję, ale jakoś nie chce mi się go krytykować. To tak, jak ze świąteczną klasyką w rodzaju ""Kevina samego w domu"" - coś tam psioczymy pod adresem telewizji, że znowu puszcza rozlazłe powtórki, ale siedzimy po raz enty przed odbiornikiem i umacniamy się w choinkowym klimacie. No to ja też siedzę i rozpływam się w bombastycznej epickości dla lekko upośledzonych nastolatków z Sosnogorska w Rosji.  W swym nowym filmie Emmerich zastanawia się, jak wyglądała Ziemia dziesięć tysięcy lat przed narodzeniem Chrystusa. Dobra rada dla czytelników w wieku szkolnym: nie radzę dzielić się spostrzeżeniami reżysera na lekcjach historii albo geografii. Takich dyrdymałów nie wymyśliłaby nawet Amy Winehouse po sporej dawce heroiny, a, jak powszechnie wiadomo, gwiazda muzyki lubi  sobie użyć. Mamy więc poczciwe plemię łowców mamutów, na które według przepowiedni spadnie zagłada z rąk okrutnych przybyszy na koniach. Tak też się dzieje, ale jeden dzielny wojownik (Strait) nie daje za wygraną i razem z garstką towarzyszy postanawia wziąć odwet na najeźdźcach. Zawiązuje więc sojusz z innymi ciemiężonymi ludami i wyrusza na wielką bitwę.  Postacie w filmie głównie więc chodzą, ewentualnie dyskutują na temat wolności, miłości i braterstwa. Poprawność polityczna sięga szczytu, gdy Emmerich sugeruje widzom pierwszy  międzyrasowy romans homoseksualny. W sumie nic dziwnego – pozbawieni kobiecego ciepła mężczyźni na pustyni musieli jakoś spędzać wolny czas... Dobrze, że reżyser potrafi jeszcze klajstrować batalistyczne sceny z przytupem. Jeśli dodać do tego wspaniałe widoki w postaci biustu Camilli Belle, otrzymujemy rozrywkę, którą da się spokojnie zakwalifikować do kategorii ""grzeszna przyjemność"". Ja mogę grzeszyć zawsze i wszędzie.  Co znajdziemy wśród materiałów dodatkowych? Będą usunięte sceny, alternatywne zakończenie oraz materiał z planu zdjęciowego. Do tego dokument, w którym reżyser opowiada o tym, co natchnęło go do wyreżyserowania tego filmu. Do wyboru czekają napisy oraz lektor. Obraz w formacie 16:9, dźwięk – Dolby Digital 5.1. "
Podróż do wnętrza Ziemi (2008),6,"Pamiętają Państwo disneyowskie filmy puszczane kiedyś na antenie publicznej Jedynki w sobotnie przedpołudnia? Na przykład historię studenta, który został porażony prądem w sali komputerowej, dzięki czemu posiadł całą wiedzę zapisaną na dyskach twardych. Dlaczego zebrało mi się na sentymenty z dzieciństwa? Wszystko z powodu ""Podróży do wnętrza ziemi 3D"", która jak ulał pasuje do tamtych telewizyjnych zabawek – jest dowcipna, staroświecka i familijna do tego stopnia, że można by ją puszczać na obozach treningowych dla Ligi Polskich Rodzin.  Film, wbrew tytułowi, nie stanowi ekranizacji kultowej powieści Juliusza Verne'a. Scenarzyści traktują literacki pierwowzór przeważnie jako umysłową pożywkę dla własnych bajań. Główny bohater, profesor Anderson (Fraser), dostaje pod opiekę na kilka dni nastoletniego siostrzeńca Seana (Hutcherson). Chłopak przywozi ze sobą pudło, w którym naukowiec odnajduje zużyty egzemplarz ""Podróży do wnętrza ziemi"". Książka należała do zaginionego w tajemniczych okolicznościach ojca Seana, również uczonego. Z notatek w niej zawartych wynika, że historia opisana przez Verne'a nosi w sobie dużo więcej niż tylko ziarno prawdy. Krewniacy ruszają więc do Skandynawii, gdzie, jak wynika z zapisków, znajduje się wejście do tajemnej krainy.  Reżyser, którego główną bronią w roz(g)rywce z widzem są trójwymiarowe obrazki, wypuszcza z ekranu na lewo i prawo wszelakie obiekty. Nieco tandetne efekty specjalne jak ulał pasują do jarmarcznego charakteru tej zabawy. Gra w baseball, gdzie zamiast piłek mamy krwiożercze ryby, wcina na obiad sekwencję szalonej jazdy wagonikami w kopalni. Choć postaci posiadają umiejętność wychodzenia z najgorszych tarapatów, widz łyka te bzdurki niczym wodę z cudownego źródełka. Bądź co bądź stosunkowo rzadko trafiają się u nas pełnometrażowe filmy wykonane techniką 3D. Po seansie ""Podróży"" można by sobie zadać pytanie, czy tak powinna wyglądać przyszłość kina. Wypukłe landszafty z Fabryki Snów bawią przez chwilę, by potem utonąć w mrokach niepamięci.  Na razie wypada się jednak cieszyć zgrabną produkcją łączącą fabularne absurdy (trup, który sam usypał sobie kurhan) z edukacyjnym zacięciem. Zawsze to dużo lepszy sposób spędzania czasu niż słuchanie smutnego pana w okularach z przejęciem rozprawiającego o glinach i piaskowcach. Osobiście wolę tyranozaura, która ugania się za bohaterami po pustkowiach. "
Eastwood po godzinach: Na żywo w Carnegie Hall (1997),5,"Clint Eastwood to człowiek legenda. Prawdziwy amerykański self made-man. Facet, który zaczynał karierę jako podrzędny aktorzyna w serialu, stał się znany jako człowiek bez imienia w spaghetti westernach Sergia Leone, gdzie głównie milczał i zabijał. Dziś uznawany jest, i to zasadnie, nie tylko za jednego z najlepszych amerykańskich aktorów,ale i reżyserów. Eastwood, który jako inspektor Callahan rozwalał bez mrugnięcia okiem i zbędnej dyskusji wszelkiego rodzaju męty, jako człowiek ma też swoją drugą wrażliwszą stronę. Pozwólcie, że użyję jego własnych słów, jakimi zwraca się do widzów: Panie i panowie, nazywam się Clint Eastwood i kocham jazz.  ""Eastwood po godzinach"" to zapośredniczony kamerą Bruca Rickera wyraz miłości wielkiego twórcy do muzyki, a zarazem hołd dla jazzu i reżysera ""Bez przebaczenia"". 17 października 1996 r. na legendarnej nowojorskiej scenie w Carnegie Hall wystąpiły największe znakomitości ze świata jazzu, aby zagrać dla Clinta i z Clintem. Filmowy zapis tego wyjątkowego wydarzenia przerywany jest krótkimi komentarzami bohatera wieczoru i fragmentami filmów z jego udziałem.  Koncert Rolling Stonesów w Carnegie Hall rejestrował sam Martin Scorsese, hołd dla ""brudnego Harry'ego"" – zwykły rzemieślnik, nie zmienia to jednak faktu, że muzycznie ""Po godzinach"" to nie rock and roll, ale prawdziwy jazz - jedyny wkład, jak twierdzą niektórzy, jaki wnieśli jankesi w światowa kulturę i sztukę. Wśród gwiazd wieczoru znajdziemy więc m.in.: Joshuę Redmana, Theloniousa Monka Jr, oraz Charlesa McPhersona. Wszystkim melomanom i fanom twórczości człowieka z Malpaso nie pozostaje więc nic innego, jak zanurzyć się w świecie dźwięku.  Wydanie DVD prócz standardowych opcji, dostępu do kilku wersji językowych napisów czy wybranych scen, zawiera bonus w postaci dokumentu o wdzięcznej nazwie ""Eastwood po zmroku"".  Dziesięciominutowy film pokazuje kulisy przygotowania koncertu i rejestruje wypowiedzi artystów w nim uczestniczących. Minusem jest fakt, że widzowie, którzy nie znają języka Szekspira, wiele z niego nie zrozumieją, bowiem nie można obejrzeć go z napisami. Dla melomanów istotna wydać się może informacje, że film udźwiękowiony jest w systemie Dolby Surround 2.0. Tyle o dodatkach, językach i innych takich. Istotą jednak jest muzyka, a ta nie wymaga tłumaczenia i wszędzie jest zrozumiała. "
Ogród Luizy (2007),6,"W dziele Wojtyszki kobieta powinna siedzieć w domu, zajmować się ogrodem albo obierać kartofle. Słusznie! Po co bidulka miałaby wychodzić na miasto, skoro pełno tam bandytów i zboczeńców. Świat nie jest fajnym miejscem – albo masz prawdziwego mężczyznę u boku, albo kończysz jako podrzędna dziwka. Szowinizm wpisany w kod genetyczny filmu nie dyskredytuje go jednak. To kawał niezłego kina, które wykazuje czasem psychologiczną przenikliwość i potrafi wynaleźć drugie dno w publicystycznej trumience.  Plakat ""Ogrodu Luizy"" sugeruje silne powiązania z gatunkiem sensacyjnym – Marcin Dorociński z papierosem w ustach przymierza się do strzału ze strzelby. Zdolny aktor wciela się tu w postać gangstera Fabia, który symuluje chorobę psychiczną w obawie przed więzieniem. Nudną egzystencję szpitalną zakłóca przybycie Luizy (Soliman), córki lokalnego bonza (Stroiński) ubiegającego się o fotel burmistrza. Dziewczyna cierpi na schizofrenię, więc dbający o wizerunek ojciec woli schować ją przed światem za murami wariatkowa. Luiza jest delikatna, ufna i naiwna – dla korzystającego z usług ukraińskich prostytutek Fabia stanowi emocjonalny punkt odniesienia w tandetnym i groźnym świecie bandziorów. Bohater najchętniej zamknąłby ją w swojej rezydencji razem z kotem, by po długim dniu ściągania haraczy móc delektować się widokiem czystej niewiasty (nie żebym twierdził, iż damy lekkich obyczajów się nie myją).  Dla Wojtyszki to takie samo ubezwłasnowolnienie jak trzymanie kogoś w zakładzie dla obłąkanych. Mimo to reżyser nie krytykuje zbytnio męskich fantazji, na których trzyma się przecież fizyka i metafizyka rzeczywistości. Ta została zaś wyjęta z doniesień lokalnych gazet – dookoła panoszy się korupcja i chamstwo, a przestępcy w biały dzień strzelają do policjantów. Kryminalny wątek ciągnie się przez większość filmu niczym sfrustrowany mąż za żoną na zakupach. Dopiero w końcówce reżyser dobudowuje trochę napięcia, ale nie stać go na to, by urządzić na oczach widza tragiczny finał. Nie będę się jednak wyzłośliwiał. Dorociński jest tutaj rewelacyjny i choćby dla niego warto ""Ogród Luizy"" obejrzeć.  Wśród materiałów dodatkowych znalazły się galeria zdjęć oraz zwiastuny innych filmów dystrybuowanych na DVD przez TiM. ""Ogród Luizy"" wchodzi w skład wydawnictwa ""Gwiazdy polskiego kina"", w ramach którego wypuszczone również będą m.in. ""Nadzieja"" i ""Niezawodny system"". Obraz w formacie 16:9, a dźwięk – D.D. 5.1."
Przebudzenie (2007),5,"Gdy jesteś białym anglosaskim krezusem, nie powinieneś zadawać się z rasowymi mniejszościami. Przedstawiciele tychże są dostatecznie sfrustrowani faktem, iż nie stać ich na mieszkanie w kraju, gdzie za leczenie płaci się grube pieniądze. Poniższa rada płynie z filmu ""Przebudzenie"" w reżyserii Joby'ego Harolda, który na bazie medycznego thrillera próbuje przekazać ukryte prawdy na temat amerykańskiego systemu służby zdrowia. Niesamowita bzdura, ale ogląda się ją nieźle. No chyba, że boicie się widoku bebechów Haydena Christensena.  Ów aktor o spojrzeniu równie głębokim co miska z mlekiem dla kota wciela się tu w postać przemysłowca Claytona, którego firma zatrudnia połowę miasta. Młodzieniec nie jest jednak szczęśliwy. Cierpi na chorobę sercową, a w dodatku jego matka (Olin) nie ma serca dla ślicznej Sam (Alba), z którą zaręczył się jakiś czas temu. Bohaterowi pozostaje więc czekanie na przeszczep. Gdy taka okazja się nadarza, bierze szybki ślub z Sam i wyrusza do szpitala, by poddać operacji wymiany feralnego organu.  Podstawą do napisania tej historii stały się przypadki pacjentów, którzy pomimo podanej narkozy odzyskali przytomność w trakcie zabiegu chirurgicznego. Nieszczęśnicy odczuwali każde cięcie lancetu, ale całkowity paraliż nie pozwalał im poinformować lekarzy o zajściu. Podobna nieprzyjemność spotyka również Claytona, chociaż w jego przypadku należałoby to uznać za błogosławieństwo. Z podsłuchanych rozmów bohater dowiaduje się bowiem, że pewnym osobom zależy na pozbyciu się go. Reżyser-cudotwórca znajduje jednak sposób na wyrwanie naszego bogacza ze szponów śmierci. Albo sens, albo suspens – chciałoby się powiedzieć. Twórcy, zamiast zagłębiać się w medyczne zawiłości, wolą wydziergać na naszych oczach kryminał z metafizycznymi ambicjami.  Podczas gdy logika odlatuje na wczasy, Harold kombinuje, jakby tu zaskoczyć widza. Parę fabularnych przewrotek wychodzi mu zresztą nie najgorzej. ""Przebudzenie"" nie dostarcza powodów do drzemki już choćby z tego powodu, że Jessica Alba raczyła odsłonić przed kamerą co nieco ze swoich wdzięków. Panowie będą robić maślane oczy w stronę kinowego ekranu, a panie oddadzą się miażdżeniu wzrokiem swych partnerów. Rozrywka na całego! "
Uprowadzona (2008),8,"Uwaga, dobry film akcji! Liam Neeson wciela się tutaj w rolę byłego szpiega Bryana, który dorabia sobie na emeryturze, ochraniając gwiazdeczkę pop. Dawne życie zawodowe odbija się wciąż na prywatnym – bohater jest rozwodnikiem, a nastoletnią córkę widuje przy okazji urodzin. Nawet wtedy nie wypada jednak wystarczająco korzystnie. Jako prezent kupuje swej pociesze zestaw do karaoke, który nie może się równać z podarkiem od ojczyma-miliardera – wspaniałym koniem. Ten ładnie sklajstrowany emocjonalny początek jest wstępem do sensacyjnej rozwałki na pełnych obrotach.  Córeczka postanawia wybrać się do Paryża razem ze swą puszczalską przyjaciółką, choć ojciec ostrzega ją przed niebezpieczeństwami czyhającymi na śliczne dziewczęta z Ameryki. Bryan ma oczywiście rację, bo tuż po przyjeździe obie pannice zostają porwane przez albański gang handlujący żywym towarem. Bohaterowi nie pozostaje nic innego, jak wsiąść w pierwszy samolot i zrobić porządek nad Sekwaną. W poprzednich filmach, których producentem i współscenarzystą był Luc Besson, po intrygującym zawiązaniu dochodziło do niekontrolowanego poślizgu militarnego. Tym razem wygląda to inaczej: twórca ""Leona zawodowca"" do spółki z reżyserem Pierre'em Morelem trzyma akcję za ryj, choć tempo i tak jest rajdowe.  Przede wszystkim jednak ""Uprowadzona"" ma w obsadzie dobrego aktora, który potrafi bez fałszu wygrać proste motywacje bohatera. Neeson nie robi z Bryana szlachetnego amerykańskiego herosa – z jego twarzy przebija silna wola znalezienia latorośli za wszelką cenę. Aby postawić na swoim,  jest w stanie strzelić do niewinnej kobiety. Sceny sadyzmu są pomysłowe, a czasami nawet zabawne. Twórcy nigdy jednak nie przekraczają cienkiej granicy dzielącej film od groteski.  W ostatecznym rozliczeniu ""Uprowadzona"" okazuje się ostrzeżeniem przed napływem imigrantów do Francji. Besson, który parę lat temu z uznaniem wypowiadał się o zdolnych Arabach z getta, dziś wskazuje na zagrożenie płynące ze strony przyjezdnych. Inne narodowości to zorganizowana przestępczość, rozpusta i ogólna degrengolada. Na szczęście Francuzi mają jeszcze przyjaciół zza Oceanu – ich twarde zasady moralne są jak uderzenie Biblią po pustej socjalistycznej głowie. "
